,area,title,community,position,tax,total_price,unit_price,hourseType,hourseSize,direction,fitment
13,罗湖区,螺岭湖贝旧城改造圈覆盖，晒布、湖贝双地铁，好地段,华隆园,螺岭,,265.0,63489.0,1室1厅,41.74,东南,简装
14,罗湖区,满五年  红本    厅出阳台  安静,缤纷时代家园,螺岭,房本满五年,440.0,76616.0,2室1厅,57.43,北,毛坯
15,罗湖区,业主自住 看房方便  交通配套完善,东港中心,东门,房本满五年,320.0,46384.0,2室1厅,68.99,东南 西北,精装
16,罗湖区,金泰名苑 4室2厅 680万,金泰名苑,百仕达,房本满五年,680.0,50906.0,4室2厅,133.58,南,精装
17,罗湖区,华丽花园，精装东南向三房，满五唯一，红本,华丽花园,螺岭,房本满五年,480.0,54367.0,3室1厅,88.29,西北,精装
18,罗湖区,祥和花园，精装3房，小区两边不靠路，安静住家！,祥和花园,莲塘,房本满五年,422.0,48512.0,3室2厅,86.99,西南,精装
19,罗湖区,黄贝岭 华丽花园 满五年 红本在手 业主诚心出售,华丽花园,螺岭,房本满五年,480.0,54238.0,3室1厅,88.5,东北,精装
20,罗湖区,莲塘口岸物业，紧凑小两房，采光通风好，地铁口,惠名花园,莲塘,,210.0,44796.0,2室1厅,46.88,东,简装
21,罗湖区,满五年唯一.朝向（东南）安静适合居家，看小区花园.,东乐花园,百仕达,房本满五年,450.0,35681.0,4室2厅,126.12,西南,简装
22,罗湖区,雍翠豪园复式5居室，诚心出售，配套成熟完善！,雍翠豪园,莲塘,房本满五年,780.0,60158.0,5室2厅,129.66,南,精装
23,罗湖区,东门优质两房，单价低总价低，老街地铁口，红本税少,南塘物业小区,东门,房本满五年,258.0,38868.0,2室2厅,66.38,北,简装
24,罗湖区,满五年、南北通透厅出阳台、伴山物业安静宜居,绿景山庄,布心,房本满五年,395.0,42242.0,3室1厅,93.51,东南,精装
25,罗湖区,此房户型方正，厅出阳台，中高楼层朝东看梧桐山景,仙湖枫景家园,莲塘,,325.0,49916.0,2室1厅,65.11,东,精装
26,罗湖区,洪湖公园旁，红本标准三房，视野无遮挡朝正南向。,丰湖花园,清水河,,382.0,45112.0,3室1厅,84.68,南,简装
27,罗湖区,鸣翠谷小区，鸟语花香，一梯两户，五房两厅，精装修。,鸣翠谷,银湖,房本满五年,980.0,66078.0,5室2厅,148.31,东南,精装
28,罗湖区,龙园山庄，全新装修大三房，朝南，有地下停车场，诚售,龙园山庄,清水河,,410.0,37084.0,3室2厅,110.56,南,精装
29,罗湖区,玉雅居 正规两房 实用 满五年,玉雅居,莲塘,房本满五年,240.0,52876.0,2室2厅,45.39,西,简装
30,罗湖区,新秀地铁口花园小区厅出大阳台 精装出售,锦秀新村,新秀,,335.0,51302.0,2室1厅,65.3,南 北,精装
31,罗湖区,一手业主 红本在手 正南向 户型方正 中间楼层,东湖医院住宅楼,百仕达,房本满五年,328.0,45248.0,2室2厅,72.49,南,简装
32,罗湖区,满五唯一，红本在手。西南朝向，户型方正,今日家园,布心,房本满五年,460.0,60006.0,3室1厅,76.66,南,简装
33,罗湖区,红本在手，满五年唯一，装修精致，视野开阔，居住舒适,仙桐御景,莲塘,房本满五年,390.0,53965.0,2室1厅,72.27,东北,精装
34,罗湖区,联城美园 高楼层 朝东向 一房 视野通风好,联城美园,春风路,房本满五年,210.0,61602.0,1室1厅,34.09,东,精装
35,罗湖区,此房满五年，红本在手，业主诚心出售，罗湖关口,罗湖大厦,春风路,房本满五年,205.0,44124.0,2室1厅,46.46,南,精装
36,罗湖区,螺岭，自如装修，华润湖贝就改，业主诚心出售，总价低,东门168,螺岭,,190.0,80339.0,1室0厅,23.65,东北,其他
37,罗湖区,耀华楼 大三房 户型方正 楼梯房 得房率高,耀华楼,东门,房本满五年,330.0,38182.0,3室2厅,86.43,北,简装
38,罗湖区,泊林花园 1室1厅 251万,泊林花园,翠竹,房本满五年,251.0,55716.0,1室1厅,45.05,西,简装
39,罗湖区,罗湖区东方都会大2房满5年红本在手 环境舒适,京基东方都会,新秀,房本满五年,310.0,51071.0,2室1厅,60.7,西南 西北,简装
40,罗湖区,宝泉庄 花园社区 一梯两户 精装大六房 南北通透,宝泉庄,地王,房本满五年,930.0,47449.0,6室2厅,196.0,南 北,精装
41,罗湖区,雅仕居 一室一厅 背靠红岗公园 交通方便,雅仕居,清水河,,168.0,49882.0,1室1厅,33.68,东南,精装
42,罗湖区,金城华庭优质一房一厅，业主诚心出售,金城华庭,螺岭,,285.0,79810.0,1室1厅,35.71,西北,精装
43,罗湖区,房子总价低，近地铁站 罗湖好房 二线关*,紫荆花园,布心,房本满五年,375.0,37697.0,3室2厅,99.48,西北,简装
44,罗湖区,合正正规3房，明厨明卫，格局合理，采光充足，无遮挡,合正锦湖魅力城,洪湖,房本满五年,730.0,75250.0,3室1厅,97.01,东南,简装
45,罗湖区,诚心出售，少有安静舒适户型，价格可以谈,四季御园,莲塘,房本满五年,480.0,57164.0,3室2厅,83.97,西北,简装
46,罗湖区,峰度天下4房，户型方正近口岸。,峰度天下,新秀,房本满五年,530.0,61493.0,4室2厅,86.19,东南,简装
47,罗湖区,安静社区大三房，南面看山，红本在手,鹏兴花园五期,莲塘,房本满五年,580.0,55450.0,3室2厅,104.6,南,简装
48,罗湖区,1。户型方正.朝南. 2。精装修 看房方便 .家私家电.,金鼎大厦,春风路,,345.0,47957.0,2室2厅,71.94,南,精装
49,罗湖区,鹏兴花园三期精装修，朝南看花园大三房，安静舒适,鹏兴花园三期,莲塘,房本满五年,780.0,68266.0,3室1厅,114.26,南,精装
50,罗湖区,翠竹 万科俊园 满五红本 业主换房诚心出售 看房方便,万科俊园,黄贝岭,房本满五年,850.0,45213.0,4室2厅,188.0,东南,精装
51,罗湖区,花园社区，合正星园 精装复式五房，田贝地铁口,合正星园,翠竹,房本满五年,1150.0,103260.0,5室1厅,111.37,南,精装
52,罗湖区,新世界好房-一手业主，红本在手业主诚心出售,新世界鹿茵翠地,莲塘,房本满五年,550.0,51571.0,3室2厅,106.65,南,精装
53,罗湖区,翠盈嘉园 3室2厅 580万,翠盈嘉园,洪湖,房本满五年,580.0,55958.0,3室2厅,103.65,南,精装
54,罗湖区,满五唯一红本 带车位  精装修 大阳台 小区安静,鹏瑞仙桐雅轩罗湖区,莲塘,房本满五年,340.0,51657.0,2室2厅,65.82,北,精装
55,罗湖区,罗湖区华清园复式三房 满两年高层端头位置采光通风好,华清园,新秀,,315.0,42379.0,3室1厅,74.33,北,精装
56,罗湖区,精装修复式一房，红本在手，交通便利，总价便宜，,怡泰大厦,黄贝岭,,80.0,22161.0,1室1厅,36.1,南,精装
57,罗湖区,罗湖福田交界处 次新房 精装修 满五年高楼层,京基一百大厦,地王,房本满五年,220.0,69096.0,1室1厅,31.84,南,精装
58,罗湖区,旭飞正规两房一厅，采光充足，产权满五年唯一红本在手,旭飞华达园,百仕达,房本满五年,280.0,49192.0,2室1厅,56.92,西,简装
59,罗湖区,一梯两户 南北带阳台 小区中间 环境好 配套齐全 诚心,新港鸿花园,百仕达,房本满五年,560.0,55119.0,3室2厅,101.6,南,精装
60,罗湖区,业主诚心出售，必看好房采光通风好,金迪名苑,布心,,340.0,86076.0,1室1厅,39.5,南,简装
61,罗湖区,此房业主自住，看房方便 自己装修,华丽东村,黄贝岭,房本满五年,450.0,52479.0,2室1厅,85.75,南,精装
62,罗湖区,靠山小区，小高层住宅，南向舒适两房，无欠款,雍翠豪园,莲塘,,310.0,55229.0,2室1厅,56.13,南,精装
63,罗湖区,地铁口物业，交通方便，精装修，一房，配套完善，,海洋大厦,黄贝岭,房本满五年,190.0,42997.0,1室1厅,44.19,东北,精装
64,罗湖区,联城美园 花园小区 高楼层 朝南一房一厅,联城美园,春风路,,222.0,65046.0,1室1厅,34.13,南,精装
65,罗湖区,大滩大厦 3室1厅 290万,大滩大厦,罗湖口岸,房本满五年,290.0,43110.0,3室1厅,67.27,东南,简装
66,罗湖区,笋岗新社区，安静，物业管理好，总价低，急卖，地铁口,虹桥星座大厦,笋岗,房本满五年,160.0,50601.0,1室0厅,31.62,东南,精装
67,罗湖区,港澳8号 精装两房 近地铁口 红本在手,港澳8号,东门,房本满五年,263.0,39909.0,2室1厅,65.9,东南,精装
68,罗湖区,万科桂苑正规三房，东南向业主诚心出售,万科桂苑,地王,房本满五年,570.0,58283.0,3室1厅,97.8,东南,精装
69,罗湖区,莲塘+聚宝花园大四房+厅出阳台+赶紧来看看吧,聚宝花园,莲塘,房本满五年,470.0,51638.0,4室2厅,91.02,南 北,简装
70,罗湖区,碧湖花园三房 户型方正 楼层高采光好 业主诚心出售,碧湖花园,洪湖,房本满五年,465.0,43414.0,3室1厅,107.11,西南,简装
71,罗湖区,业主诚心卖三房 大社区 幽静 满五唯一,曲尺楼,黄贝岭,房本满五年,370.0,44833.0,3室1厅,82.53,南,简装
72,罗湖区,：彩世界家园精装修大2房，满五唯一，朝东南看马路,彩世界家园,布心,房本满五年,330.0,47980.0,2室1厅,68.78,南,简装
73,罗湖区,东门步行街 总价低 近地铁晒布站,东港中心,东门,,210.0,39902.0,1室1厅,52.63,东南,简装
74,罗湖区,蔡屋围 经典两房 总价低 没压力,日豪名园,地王,房本满五年,259.0,49808.0,2室1厅,52.0,西北,精装
75,罗湖区,湖贝地铁口物业，单价4.3万，精装修两房,港澳8号,东门,房本满五年,275.0,40923.0,2室1厅,67.2,东南,精装
76,罗湖区,国际名园 1室1厅 200万,国际名园,春风路,房本满五年,200.0,43526.0,1室1厅,45.95,东北,精装
77,罗湖区,新装修，大落地窗，距老街地铁站G出口100米，河景房！,港岛银座,地王,,190.0,46286.0,1室0厅,41.05,西北,精装
78,罗湖区,房子为商品房，目前满2年，业主诚心卖,聚福花园,莲塘,,523.0,44579.0,3室1厅,117.32,北,精装
79,罗湖区,此房是正规三房带窗户，客厅出阳台，满二，老街地铁,方海商苑,东门,房本满五年,320.0,36922.0,3室1厅,86.67,北,简装
80,罗湖区,汇锦名园  朝南3房 客厅房间正南,汇锦名园,螺岭,,530.0,61208.0,3室2厅,86.59,东南,精装
81,罗湖区,业主自住，保养好，户型方正，满五年，没有抵押,碧水园,洪湖,,470.0,47294.0,3室2厅,99.38,东南,精装
82,罗湖区,5、7号线太安站 东湖馨苑 三房满两年 居家安,中威联实业有限公司工会宿舍,百仕达,,420.0,48099.0,3室2厅,87.32,东南,精装
83,罗湖区,叠翠居复式三房 使用面积90平米 业主自住 看房方便,叠翠居,百仕达,房本满五年,380.0,65147.0,3室2厅,58.33,南,精装
84,罗湖区,高层 西南向 满五年红本在手 诚心出售！,云峰花园,春风路,房本满五年,400.0,37912.0,3室1厅,105.51,西南,简装
85,罗湖区,带大入户花园，全朝南户型，室内通透，业主诚心出售。,百仕达东郡,百仕达,房本满五年,1128.0,89446.0,3室2厅,126.11,东南,精装
86,罗湖区,集浩大厦 带装修2房 带6000元租约,集浩大厦,黄贝岭,,266.0,42377.0,2室2厅,62.77,南 北,精装
87,罗湖区,高层采光通风好，户型方正，满两年,京基东方都会,新秀,,120.0,46912.0,1室0厅,25.58,北,简装
88,罗湖区,大剧院地铁口物业，高楼层视野无遮挡，红本在手,名仕阁,地王,,265.0,47095.0,1室1厅,56.27,北,简装
89,罗湖区,20.57平一房 满两年 户型方正 精装修 小区封闭式管理,雅仕居,清水河,,100.0,48615.0,1室0厅,20.57,东南,精装
90,罗湖区,天越翔园 2室1厅 255万,天越翔园,莲塘,,255.0,56667.0,2室1厅,45.0,北,简装
91,罗湖区,业主诚心出售，精美装修，实用空间大，双阳台。,深港豪苑,地王,,410.0,49238.0,3室1厅,83.27,东南,精装
92,罗湖区,荔枝公园旁 居家大户型 近大剧院地铁 红本税少,美荔园,地王,房本满五年,750.0,59186.0,3室2厅,126.72,东 南,简装
93,罗湖区,龙园山庄 实用两房 红本在手 满五年,龙园山庄,清水河,房本满五年,248.0,39409.0,2室1厅,62.93,北,简装
94,罗湖区,罗湖口岸双地铁口物业，看香港山景,双城世纪,罗湖口岸,房本满五年,170.0,53325.0,1室1厅,31.88,南,精装
95,罗湖区,蔡屋围精装一房，户型方正，配套成熟,京基一百大厦,地王,,220.0,70717.0,1室0厅,31.11,南,简装
96,罗湖区,高层户型方正  红本在手交易快,鸿隆世纪广场,地王,房本满五年,450.0,45181.0,3室1厅,99.6,北,精装
97,罗湖区,《国都花园。格局方正三房》红本在手 税费少 一手业主,国都花园,地王,房本满五年,415.0,46861.0,3室1厅,88.56,东南,简装
98,罗湖区,怡泰大厦 2室1厅 65万,怡泰大厦,黄贝岭,房本满五年,65.0,25702.0,2室1厅,25.29,东南,精装
99,罗湖区,满五年，红本在手，诚心出售，，,大信大厦,地王,房本满五年,320.0,35262.0,2室1厅,90.75,东北,简装
100,罗湖区,端头户型 两面采光 不临街 满二 干湿分离,蓝馨苑,黄贝岭,,225.0,78234.0,1室0厅,28.76,东,简装
101,罗湖区,华清园一房，满五红本在手近东湖公园及罗湖体院馆。,华清园,新秀,房本满五年,125.0,37914.0,1室1厅,32.97,南,简装
102,罗湖区,大剧院地铁高楼层1房，业主诚心出售，,骏庭名园,地王,,209.0,46424.0,1室1厅,45.02,西南,简装
103,罗湖区,此房满两年税费少，万象城商圈配套完善,城市天地广场,万象城,房本满五年,260.0,45495.0,1室1厅,57.15,南,精装
104,罗湖区,老街大剧院双地铁站 东南向 三房两卫 红本满五唯一,和平广场,地王,房本满五年,435.0,52071.0,3室1厅,83.54,东南,精装
105,罗湖区,长丰苑 小两房一厅 人车分流 适合过渡,长丰苑,春风路,,195.0,42679.0,2室1厅,45.69,西南,精装
106,罗湖区,翠沁阁大两房 满两年 三号线翠竹站 户型好 诚心出售,翠竹苑,百仕达,房本满五年,530.0,68520.0,2室1厅,77.35,东,简装
107,罗湖区,凯悦华庭 地铁口方正两房 高楼层  业主诚心卖,凯悦华庭,春风路,,315.0,45986.0,2室1厅,68.5,西北,精装
108,罗湖区,红桂皇冠精装标准方正一房一厅，红本，业主诚意出售,红桂皇冠,地王,,180.0,43374.0,1室1厅,41.5,东北,简装
109,罗湖区,满四年唯一，总价低，旁边是珠宝大厦,大地花园,布心,,208.0,39275.0,1室1厅,52.96,北,精装
110,罗湖区,东海大厦 3室1厅 358万,东海大厦,春风路,房本满五年,358.0,37908.0,3室1厅,94.44,东,简装
111,罗湖区,房子税费少 红本在手 楼层好 业主诚心卖,海关草埔生活区,布心,,330.0,42658.0,3室2厅,77.36,南,精装
112,罗湖区,兰亭国际大三房  装修好 业主诚心出售 看房方便,兰亭国际名园,莲塘,房本满五年,660.0,49625.0,3室2厅,133.0,北,精装
113,罗湖区,楼层好，视野宽阔，采光充足，满二业主自住,庐峰翠苑,黄贝岭,,820.0,65716.0,3室1厅,124.78,东北,精装
114,罗湖区,罗湖莲塘雍翠豪园满五唯一正规两房看山景美满,雍翠豪园,莲塘,房本满五年,310.0,50820.0,2室2厅,61.0,东北,精装
115,罗湖区,oh my god 这里有一天精装大两房出售,梧桐山新居,莲塘,房本满五年,390.0,48334.0,2室1厅,80.69,南,简装
116,罗湖区,玉雅居带电梯，已改小两房，满五年无增值税,玉雅居,莲塘,,215.0,50840.0,2室1厅,42.29,东,简装
117,罗湖区,金丽豪苑 4室1厅 730万,金丽豪苑,翠竹,房本满五年,730.0,63912.0,4室1厅,114.22,东北,精装
118,罗湖区,置地逸轩国贸物业 双地铁口 罗湖繁华地段,置地逸轩,春风路,房本满五年,262.0,55852.0,1室1厅,46.91,南,简装
119,罗湖区,金洲花园 精装大2房 满五唯一税费少 业主诚心放卖,金洲花园,布心,房本满五年,310.0,44104.0,2室2厅,70.29,南,精装
120,罗湖区,满5年，坐拥仙湖植物园和东湖资源,鹏兴花园一期,莲塘,房本满五年,398.0,50527.0,2室2厅,78.77,南,精装
121,罗湖区,阳光新干线超高层看香港山景精装浪漫满屋,阳光新干线家园,春风路,,348.0,57031.0,2室1厅,61.02,西南,精装
122,罗湖区,鸿隆世纪南向大四房，户型实用高层景观好,鸿隆世纪广场,地王,房本满五年,568.0,43552.0,4室1厅,130.42,北,简装
123,罗湖区,嘉宝田花园大社区 人车分流  南向三房,嘉宝田花园,笋岗,,628.0,71041.0,3室2厅,88.4,南,简装
124,罗湖区,一手业主 楼层佳采光好 税费少 业主有心卖,鹏瑞仙桐雅轩罗湖区,莲塘,房本满五年,365.0,53014.0,2室2厅,68.85,北,精装
125,罗湖区,梧桐山脚下，精装修自住房，红本满五年,梧桐山新居,莲塘,房本满五年,338.0,52830.0,2室2厅,63.98,西南,精装
126,罗湖区,莲塘关口物业，朝南复式大三房，户型方正厅出阳台,四季御园,莲塘,房本满五年,670.0,65195.0,3室1厅,102.77,南,简装
127,罗湖区,御景兰庭 3室1厅 520万,御景兰庭,莲塘,房本满五年,520.0,70595.0,3室1厅,73.66,东南,精装
128,罗湖区,满五唯一，正规两房，双阳台，采光好,蓝馨苑,黄贝岭,房本满五年,433.0,66616.0,2室1厅,65.0,东南,精装
129,罗湖区,翠怡苑 四房 满五唯一  省个税 看房方便,翠怡苑,布心,房本满五年,410.0,44917.0,4室2厅,91.28,东北,精装
130,罗湖区,名骏豪庭厅出阳台两房，看小区绿化，养眼,名骏豪庭,莲塘,房本满五年,350.0,52169.0,2室1厅,67.09,北,精装
131,罗湖区,业主诚心出售 3房 安静居家 深小桂园,深中街,东门,房本满五年,450.0,52424.0,3室1厅,85.84,东南,简装
132,罗湖区,百仕达乐湖 三房两卫 红本在手 厅出阳台 看房方便,百仕达乐湖,百仕达,,860.0,74254.0,3室1厅,115.82,东北,精装
133,罗湖区,梧桐山新居 2室1厅 280万,梧桐山新居,莲塘,,280.0,55108.0,2室1厅,50.81,南,精装
134,罗湖区,嘉宝田花园二期大三房  满五年 红本在手,嘉宝田花园,笋岗,房本满五年,665.0,60543.0,3室2厅,109.84,西北 北,简装
135,罗湖区,精装三房，满两年，看房方便，户型方正,都市名园,万象城,,595.0,56351.0,3室1厅,105.59,西,其他
136,罗湖区,鸿隆世纪广场正规大三房 诚心出售,鸿隆世纪广场,地王,,440.0,45129.0,3室1厅,97.5,北,简装
137,罗湖区,满五唯一 户型方正 交通便利 通风采光好,南洋大厦,春风路,房本满五年,260.0,45218.0,2室1厅,57.5,东,简装
138,罗湖区,湖馨苑复式三房，格局灵活，上下两层使用空间大！,湖馨苑,笋岗,房本满五年,310.0,76374.0,3室2厅,40.59,西,精装
139,罗湖区,曲尺楼曲尺楼大两房 红本在手 满五唯一,曲尺楼,黄贝岭,房本满五年,357.0,50891.0,2室2厅,70.15,南,精装
140,罗湖区,鹏兴花园五期 近举报路口公交站，南向，安静舒适,鹏兴花园五期,莲塘,房本满五年,460.0,63283.0,3室2厅,72.69,南,精装
141,罗湖区,嘉宝田花园三期东南高层 花园尽收眼底 采光好无死角,嘉宝田花园,笋岗,房本满五年,900.0,96660.0,4室2厅,93.11,南,精装
142,罗湖区,国贸正规三房，近罗湖口岸金光华广场,罗湖医院医疗科技楼,春风路,,415.0,39904.0,3室2厅,104.0,南,简装
143,罗湖区,嘉景苑 2室1厅 360万,嘉景苑,笋岗,房本满五年,360.0,55875.0,2室1厅,64.43,南,精装
144,罗湖区,洪湖花园，厅出阳台看全湖景房，红本看房方便出售,洪湖花园,洪湖,房本满五年,400.0,47985.0,2室2厅,83.36,东南,精装
145,罗湖区,合正荣悦，高层正规小两房，采光很好，翠竹,合正荣悦,黄贝岭,房本满五年,460.0,91525.0,2室1厅,50.26,西南,精装
146,罗湖区,龙园山庄，中楼层，南北通户型，居家舒适,龙园山庄,清水河,房本满五年,400.0,39499.0,4室2厅,101.27,东南,简装
147,罗湖区,翠园未用，满五，红本，少有放盘,东兴大院,布心,房本满五年,500.0,55979.0,3室2厅,89.32,南,简装
148,罗湖区,罗湖待 拆物业、南北通大3房、业主诚心售,红群楼,地王,房本满五年,520.0,58290.0,3室2厅,89.21,南,其他
149,罗湖区,四季御园  南向客厅 莲塘口岸景观 诚意出售,四季御园,莲塘,,550.0,61044.0,3室2厅,90.1,南,简装
150,罗湖区,精装修   看房方便，小清新风格,怡泰大厦,黄贝岭,房本满五年,66.0,23118.0,1室0厅,28.55,东,精装
151,罗湖区,罗湖口岸       红本在手     有钥匙看房,怡都大厦,罗湖口岸,房本满五年,307.0,27938.0,3室1厅,109.89,西南,精装
152,罗湖区,湖溪大厦少有户型，满五交通便利,湖溪大厦,东门,房本满五年,240.0,41231.0,2室1厅,58.21,东南,精装
153,罗湖区,房子属于老社区花园，满五年无增值税，税费少。。,桃花园,笋岗,,245.0,56439.0,1室1厅,43.41,南,简装
154,罗湖区,金园花园朝南高楼层，满五年红本在手，适合居家,金园花园,地王,房本满五年,380.0,57963.0,2室1厅,65.56,南,精装
155,罗湖区,此房满两年，免去增值税，红本在手，租客看房保养好,碧湖花园,洪湖,房本满五年,410.0,44839.0,3室1厅,91.44,西北,简装
156,罗湖区,此房是大开间 28平 有外阳台 独立的厨房 洗手间,TCL雅馨居,地王,,133.0,46881.0,1室0厅,28.37,北,简装
157,罗湖区,庐山花园 满五年 红本在手 高楼层 精装修 采光好,庐山花园,罗湖口岸,房本满五年,185.0,42354.0,1室1厅,43.68,东南,精装
158,罗湖区,此房满两年，红本在手，楼下就是儿童公园。,同乐大厦,东门,房本满五年,256.0,39982.0,2室1厅,64.03,东南,精装
159,罗湖区,高楼层 视野开阔 诚心出售少量欠款,京基东方颐园,螺岭,房本满五年,355.0,82559.0,2室1厅,43.0,北,精装
160,罗湖区,此房满五年唯一，2房改的3房，业主诚心出售,金洲花园,布心,房本满五年,290.0,45569.0,3室1厅,63.64,东南,简装
161,罗湖区,港岛银座大一房一厅，品质生活。,港岛银座,地王,房本满五年,250.0,41821.0,1室1厅,59.78,东南,简装
162,罗湖区,粤海花园，满五年，精装修，业主诚心出售,粤海花园,春风路,房本满五年,330.0,37814.0,3室2厅,87.27,东南,精装
163,罗湖区,锦上花家园方正2房，满五年，红本在手东南,锦上花家园,黄贝岭,房本满五年,265.0,51748.0,2室1厅,51.21,东南,精装
164,罗湖区,无缝对接7号线地铁口 满五精装两房出售 高层出阳台,笋岗大厦,笋岗,,240.0,42942.0,2室1厅,55.89,西南,精装
165,罗湖区,精美装修，满五唯一省费用，红本在手，,清水河生活小区,清水河,房本满五年,240.0,59687.0,1室1厅,40.21,东 南,简装
166,罗湖区,高层朝南2房  满五唯一红本在手,汇泰大厦,罗湖口岸,房本满五年,238.0,60284.0,2室1厅,39.48,东南,精装
167,罗湖区,凤凰印象两房 业主诚心出售 价格可以谈,凤凰印象,螺岭,,445.0,71280.0,2室1厅,62.43,东 北,精装
168,罗湖区,灵动户型，*三房，适合自住,名骏豪庭,莲塘,,325.0,47205.0,2室2厅,68.85,北,简装
169,罗湖区,装修保养好，华润湖贝*，户型通透，采光好,东门168,螺岭,房本满五年,395.0,64218.0,2室1厅,61.51,南,精装
170,罗湖区,此房满五年，红本在手，税费少，不用赎楼！,联城美园,春风路,房本满五年,198.0,54970.0,1室1厅,36.02,西北,精装
171,罗湖区,朗钜御风庭 一房一厅 适合住家,朗钜御风庭,黄贝岭,房本满五年,245.0,52006.0,1室1厅,47.11,西北,精装
172,罗湖区,满二，装修好，采光好，看房方便，诚心卖,东门天下,东门,,380.0,57307.0,2室1厅,66.31,东南 西南,精装
173,罗湖区,东门老街商圈，双地铁口物业，价格便宜，总价低,南塘物业小区,东门,,220.0,41053.0,2室1厅,53.59,东南,简装
174,罗湖区,必看好房 港澳8号 红本在手 精装1房 近地铁,港澳8号,东门,房本满五年,200.0,41272.0,1室1厅,48.46,南,精装
175,罗湖区,钻石时代 中等楼层 大开间 户型方正,钻石时代,春风路,,125.0,46007.0,1室0厅,27.17,西北,简装
176,罗湖区,嘉宝田花园业主自住大两房朝南户型,嘉宝田花园,笋岗,房本满五年,450.0,68473.0,2室1厅,65.72,南,简装
177,罗湖区,罗湖口岸，广东省银行大厦，大两房出售,广东省银行大厦,罗湖口岸,,288.0,36745.0,2室1厅,78.38,东南,精装
178,罗湖区,置地逸轩 两室一厅 南向高层视野好,置地逸轩,春风路,,335.0,62164.0,2室1厅,53.89,南,简装
179,罗湖区,朗钜御风庭 红本一房一厅，双阳台 双口岸，双地铁,朗钜御风庭,黄贝岭,房本满五年,245.0,55455.0,1室1厅,44.18,西南,精装
180,罗湖区,国际名园单间 满两年免增值税地铁口物业 业主诚心出售,国际名园,春风路,,105.0,43732.0,1室0厅,24.01,东南,简装
181,罗湖区,港丰大厦 精装修 看房方便 诚心放卖,港澳8号,东门,房本满五年,193.0,45402.0,1室1厅,42.51,东南,精装
182,罗湖区,花园式小区，中高楼层，满两年，2号线、5号线黄贝岭站,金城华庭,螺岭,,285.0,78233.0,1室1厅,36.43,东南,精装
183,罗湖区,满两年 翠竹山下精致两房 业主诚心急售,翠拥华庭,百仕达,房本满五年,480.0,55002.0,2室2厅,87.27,东南,精装
184,罗湖区,鸿翔花园南向两房的公寓，社区大花园，居家舒服,鸿翔花园,地王,房本满五年,360.0,65265.0,2室1厅,55.16,西南,简装
185,罗湖区,总价低税费少满二提前预约诚心出售 看房方便 闹中取静,明华广场,东门,,240.0,41061.0,2室1厅,58.45,西南,简装
186,罗湖区,名仕阁大1房1厅出售  满两年 有钥匙看房方便,名仕阁,地王,,265.0,45643.0,1室1厅,58.06,东北,精装
187,罗湖区,南向京基三房 精装修 晒布地铁 繁华生活区,京基东方颐园,螺岭,房本满五年,680.0,74244.0,3室2厅,91.59,南,精装
188,罗湖区,笋岗好房， 满五红本，双地铁口，装修好，,深城公寓,笋岗,房本满五年,288.0,55279.0,2室1厅,52.1,南,简装
189,罗湖区,荔枝公园、美荔园、朝东大两房 地铁3号线红岭站,美荔园,地王,房本满五年,560.0,67723.0,2室1厅,82.69,东 南,精装
